ID,Topics,Text_answer,NegPos_answer,NegPos_output,Text_output,Cosine_Similarity,IsCorrect
1,Facility,"New, comfortable apartments",Positive,,,0.0,False
1,Food,"Tasty food on the first floor, comfortable restaurant for both cozy evenings and calm work to escape the heat in the midday",Positive,Positive,"Tasty food on the first floor, comfortable restaurant for both cozy evenings and calm work to escape the heat in the midday",1.0000000000000002,True
1,Location,"close to the airport, to very clean beach.",Positive,,,0.0,False
1,Room,,,Null,Nothing at all.,0.0,False
1,Room,,,Positive,"New, comfortable apartments, close to the airport, to very clean beach.",0.0,False
1,Staff,Staff is extremely helpful and easy to communicate with ,Positive,Positive,Staff is extremely helpful and easy to communicate with,1.0,True
3,Location,the location is great and near the airport. bus stop is very close.,Positive,,,0.0,False
4,Price,Great Quality/price,Positive,Positive,Great Quality/price,1.0,True
4,Room,,,Negative,the room was a little bit dirty.,0.0,False
4,Room,Clean,Positive,Positive,The room is enough big.,0.0,False
4,Staff,Great stuff,Positive,,,0.0,False
5,Location,in a very convenient location.  An easy stroll to numerous nice restaurants and a great beach.,Positive,,,0.0,False
5,Room,Clean and modern with very comfortable beds,Positive,,,0.0,False
6,Room,,,Negative,the room was a little bit dirty.,0.0,False
6,Room,The room was exceptionally clean with a really comfortable bed,Positive,Positive,"The room is enough big., The room was exceptionally clean with a really comfortable bed",0.8896549384713694,True
7,Room,,,Positive,great,0.0,False
8,Facility,,,Positive,renovated,0.0,False
8,Location,nice location,Positive,Positive,nice location,1.0000000000000002,True
8,Staff,lovely personal,Positive,Positive,lovely personal,1.0,True
9,Food,,,Negative,couldn't eat breakfast due to dietary restrictions.,0.0,False
9,Food,,,Neutral,maybe possibility of purchasing fresh fruit or veg,0.0,False
9,Location,,,Positive,nearby bus takes to town-centre (and airport),0.0,False
9,Price,,,Negative,21 euro taxi,0.0,False
9,Room,,,Negative,the room was a little bit dirty.,0.0,False
9,Room,,,Positive,The room is enough big.,0.0,False
9,Staff,very helpful host showed us how nearby bus takes to town-cntre (and airport by the way ,Positive,Positive,very helpful host,0.3674409434619685,False
9,Taxi-issue,,,Positive,no need for 21 euro taxi,0.0,False
10,Location,quiet location,Positive,,,0.0,False
10,Room,Great modern room comfortable bed,Positive,,,0.0,False
11,Food,Oh yeah the food is great to and very reasonable prices ..,Positive,,,0.0,False
11,Location,The bus stop which goes to and from the airport as well as the town center is a minutes walk away and just 2 euros,Positive,,,0.0,False
11,Room,The rooms are spacious and clean great to stay .. I even got an upgrade,Positive,,,0.0,False
11,Staff,"The staff here are amazing beyond expectations..*****
 Maria at reception is just great she really took time to explain where to go how to get there and so helpful ... 🙏
 Richard the chef this guy is like the friendliest guy ever, such a nice guy with a permanent. Even the cleaning lady is so friendly and so nice to talk to. The owners are also great",Positive,,,0.0,False
12,Booking-issue,,,Negative,Couldn’t stay longer.,0.0,False
12,Food,The breakfast was lovely with room service too.,Positive,,,0.0,False
12,Room,,,Negative,the room was a little bit dirty.,0.0,False
12,Room,Very clean and comfortable.,Positive,Positive,The room is enough big.,0.0,False
12,Staff,The staff were exceptional. So helpful and friendly. Went out of their way for us.,Positive,,,0.0,False
13,Location,"Short drive to the airport and very well located, just a short walk from the promenade, coffee shops restaurants.",Positive,Positive,"Short drive to the airport and very well located, just a short walk from the promenade, coffee shops restaurants.",1.0,True
13,Room,"The rooms are lovely and new, very clean and comfortable. The mattress was to my taste.",Positive,Positive,"The rooms are lovely and new, very clean and comfortable., The mattress was to my taste.",1.0000000000000002,True
13,Staff,"The staff are so welcoming, we felt like staying with family.",Positive,Positive,"The staff are so welcoming, we felt like staying with family.",1.0000000000000002,True
14,Food,,,Positive,some restaurants and bars next to the beach just 10min of walking distance from the hotel.,0.0,False
14,Location,,,Negative,"You can hear the airplanes coming and leaving from the airport all the time, so if you are sensitive to the sounds around you and at night, better to skip this hotel and choose a different one.",0.0,False
