ID,Topics,Text_answer,NegPos_answer,NegPos_output,Text_output,Sentiment_Match
1,Booking-issue,,,Null,Null,False
1,Check-in,,,Null,Null,False
1,Check-out,,,Null,Null,False
1,Facility,,,Null,Null,False
1,Facility,"New, comfortable apartments",Positive,,,False
1,Food,,,Null,Null,False
1,Food,"Tasty food on the first floor, comfortable restaurant for both cozy evenings and calm work to escape the heat in the midday",Positive,,,False
1,Location,,,Null,Null,False
1,Location,"close to the airport, to very clean beach.",Positive,,,False
1,Price,,,Null,Null,False
1,Room,,,Null,Null,False
1,Staff,,,Null,Null,False
1,Staff,Staff is extremely helpful and easy to communicate with ,Positive,,,False
1,Taxi-issue,,,Null,Null,False
3,Location,the location is great and near the airport. bus stop is very close.,Positive,Positive,the location is great and near the airport. bus stop is very close.,True
4,Price,Great Quality/price,Positive,Positive,"Great Quality/price, Great Quality/price, Great Quality/price",True
4,Room,Clean,Positive,Positive,"Great, Great, Great",True
4,Staff,Great stuff,Positive,,,False
5,Location,in a very convenient location.  An easy stroll to numerous nice restaurants and a great beach.,Positive,Positive,"in a very convenient location, an easy stroll to numerous nice restaurants and a great beach",True
5,Room,Clean and modern with very comfortable beds,Positive,Positive,Clean and modern with very comfortable beds,True
6,Check-in,,,Positive,test,False
6,Room,The room was exceptionally clean with a really comfortable bed,Positive,Positive,"exceptionally clean, really comfortable bed",True
7,Check-in,,,Positive,test,False
7,Room,,,Positive,great,False
8,Booking-issue,,,Null,Null,False
8,Check-in,,,Null,Null,False
8,Check-out,,,Null,Null,False
8,Facility,,,Null,Null,False
8,Food,,,Null,Null,False
8,Location,,,Null,Null,False
8,Location,nice location,Positive,Positive,nice location,True
8,Price,,,Null,Null,False
8,Room,,,Null,Null,False
8,Room,,,Positive,renovated,False
8,Staff,,,Null,Null,False
8,Staff,lovely personal,Positive,Positive,lovely personal,True
8,Taxi-issue,,,Null,Null,False
9,Food,,,Negative,couldn't eat breakfast due to dietary restrictions,False
9,Location,,,Positive,"nearby bus takes to town-cntre (and airport by the way), possibility of purchasing fresh fruit or veg",False
9,Price,,,Negative,21 euro taxi,False
9,Staff,very helpful host showed us how nearby bus takes to town-cntre (and airport by the way ,Positive,Positive,very helpful host,True
10,Location,quiet location,Positive,Positive,quiet location,True
10,Room,Great modern room comfortable bed,Positive,Positive,great modern room comfortable bed,True
