ID,Topics,Text_answer,NegPos_answer,NegPos_output,Text_output,Cosine_Similarity,IsCorrect
1,Facility,"New, comfortable apartments",Positive,,,0.0,False
1,Food,"Tasty food on the first floor, comfortable restaurant for both cozy evenings and calm work to escape the heat in the midday",Positive,Positive,"Tasty food on the first floor,, comfortable restaurant for both cozy evenings and calm work to escape the heat in the midday",0.9999999999999999,True
1,Location,"close to the airport, to very clean beach.",Positive,Positive,"New, comfortable apartments, close to the airport, to very clean beach.",0.7292176189794038,True
1,Room,,,Null,Nothing at all,0.0,False
1,Staff,Staff is extremely helpful and easy to communicate with ,Positive,Positive,Staff is extremely helpful and easy to communicate with,1.0000000000000002,True
3,Location,the location is great and near the airport. bus stop is very close.,Positive,,,0.0,False
4,Price,Great Quality/price,Positive,,,0.0,False
4,Room,Clean,Positive,,,0.0,False
4,Staff,Great stuff,Positive,,,0.0,False
5,Location,in a very convenient location.  An easy stroll to numerous nice restaurants and a great beach.,Positive,,,0.0,False
5,Room,Clean and modern with very comfortable beds,Positive,,,0.0,False
6,Room,The room was exceptionally clean with a really comfortable bed,Positive,,,0.0,False
8,Facility,,,Positive,renovated,0.0,False
8,Location,nice location,Positive,Positive,nice location,1.0000000000000002,True
8,Staff,lovely personal,Positive,Positive,lovely personal,1.0000000000000002,True
9,Staff,very helpful host showed us how nearby bus takes to town-cntre (and airport by the way ,Positive,,,0.0,False
10,Location,quiet location,Positive,,,0.0,False
10,Room,Great modern room comfortable bed,Positive,,,0.0,False
11,Food,Oh yeah the food is great to and very reasonable prices ..,Positive,Positive,Oh yeah the food is great to and very reasonable prices.,1.0000000000000002,True
11,Location,The bus stop which goes to and from the airport as well as the town center is a minutes walk away and just 2 euros,Positive,Positive,"The bus stop which goes to and from the airport as well as the town center is a minutes walk away, and just 2 euros",1.0000000000000002,True
11,Price,,,Positive,very reasonable prices,0.0,False
11,Room,The rooms are spacious and clean great to stay .. I even got an upgrade,Positive,Positive,"The rooms are spacious and clean great to stay., I even got an upgrade which is always so nice.",0.8572547765560959,True
11,Staff,"The staff here are amazing beyond expectations..*****
 Maria at reception is just great she really took time to explain where to go how to get there and so helpful ... 🙏
 Richard the chef this guy is like the friendliest guy ever, such a nice guy with a permanent. Even the cleaning lady is so friendly and so nice to talk to. The owners are also great",Positive,Positive,"Maria at reception is just great she really took time to explain where to go how to get there and so helpful ..., Richard the chef this guy is like the friendliest guy ever, such a nice guy with a permanent. Smile 😁",0.8389849752431188,True
12,Food,The breakfast was lovely with room service too.,Positive,,,0.0,False
12,Room,Very clean and comfortable.,Positive,,,0.0,False
12,Staff,The staff were exceptional. So helpful and friendly. Went out of their way for us.,Positive,,,0.0,False
13,Location,"Short drive to the airport and very well located, just a short walk from the promenade, coffee shops restaurants.",Positive,,,0.0,False
13,Room,"The rooms are lovely and new, very clean and comfortable. The mattress was to my taste.",Positive,,,0.0,False
