ID,Topics,Text_answer,NegPos_answer,NegPos_output,Text_output,Sentiment_Match
1,Facility,"New, comfortable apartments",Positive,,,False
1,Food,"Tasty food on the first floor, comfortable restaurant for both cozy evenings and calm work to escape the heat in the midday",Positive,Positive,"Tasty food on the first floor, comfortable restaurant for both cozy evenings and calm work to escape the heat in the midday",True
1,Location,"close to the airport, to very clean beach.",Positive,Positive,"close to the airport, to very clean beach",True
1,Room,,,Positive,"New, comfortable apartments",False
1,Staff,Staff is extremely helpful and easy to communicate with ,Positive,Positive,Staff is extremely helpful and easy to communicate with,True
3,Location,the location is great and near the airport. bus stop is very close.,Positive,Positive,the location is great and near the airport. bus stop is very close.,True
4,Price,Great Quality/price,Positive,,,False
4,Room,Clean,Positive,,,False
4,Staff,Great stuff,Positive,,,False
5,Location,in a very convenient location.  An easy stroll to numerous nice restaurants and a great beach.,Positive,,,False
5,Room,Clean and modern with very comfortable beds,Positive,,,False
6,Room,The room was exceptionally clean with a really comfortable bed,Positive,,,False
7,Room,,,Positive,great,False
8,Location,nice location,Positive,Positive,"nice location, renovated",True
8,Staff,lovely personal,Positive,Positive,lovely personal,True
9,Food,,,Positive,fresh fruit or veg,False
9,Location,,,Positive,maybe possibility of purchasing fresh fruit or veg,False
9,Staff,very helpful host showed us how nearby bus takes to town-cntre (and airport by the way ,Positive,,,False
10,Location,quiet location,Positive,Positive,quiet location,True
10,Room,Great modern room comfortable bed,Positive,Positive,Great modern room,True
11,Food,Oh yeah the food is great to and very reasonable prices ..,Positive,,,False
11,Location,The bus stop which goes to and from the airport as well as the town center is a minutes walk away and just 2 euros,Positive,,,False
11,Room,The rooms are spacious and clean great to stay .. I even got an upgrade,Positive,,,False
11,Staff,"The staff here are amazing beyond expectations..*****
 Maria at reception is just great she really took time to explain where to go how to get there and so helpful ... 🙏
 Richard the chef this guy is like the friendliest guy ever, such a nice guy with a permanent. Even the cleaning lady is so friendly and so nice to talk to. The owners are also great",Positive,,,False
12,Booking-issue,,,Negative,Couldn't stay longer,False
12,Food,The breakfast was lovely with room service too.,Positive,,,False
12,Room,,,Negative,Couldn't stay longer,False
12,Room,Very clean and comfortable.,Positive,,,False
12,Staff,The staff were exceptional. So helpful and friendly. Went out of their way for us.,Positive,,,False
13,Location,"Short drive to the airport and very well located, just a short walk from the promenade, coffee shops restaurants.",Positive,Positive,"Short drive to the airport and very well located, just a short walk from the promenade, coffee shops restaurants.",True
13,Room,"The rooms are lovely and new, very clean and comfortable. The mattress was to my taste.",Positive,Positive,"The rooms are lovely and new, very clean and comfortable., The mattress was to my taste.",True
13,Staff,"The staff are so welcoming, we felt like staying with family.",Positive,Positive,"The staff are so welcoming, we felt like staying with family.",True
14,Location,,,Negative,"people are living in the hotel, rather than staying at a hotel, you can hear the airplanes coming and leaving from the airport all the time",False
14,Location,We wanted a hotel for a night that is close to the airport and this hotel did that purpose more than fair. There are some restaurants and bars next to the beach just 10min of walking distance from the hotel.,Positive,Positive,test,True
14,Room,You can hear the airplanes coming and leaving from the airport all the time,Negative,,,False
14,Staff,The receptionist didn't speak English properly,Negative,Negative,The receptionist didn't speak English properly,True
15,Location,it is a bit on the edge of Larnaca - with frequent busses to the centre.,Negative,,,False
15,Location,"Chose really because it was reasonably close to the Airport for an early morning flight, yet could have a stroll along the nearby beach.",Positive,Positive,"Chose really because it was reasonably close to the Airport for an early morning flight, yet could have a stroll along the nearby beach., Larnaca",True
